CountryID;CountryName;HighIncome;Income;Development;Region;WorldRank;RegionRank;2022Score;PropertyRights;JudicialEffectiveness;GovernmentIntegrity;TaxBurden;GovernmentSpending;FiscalHealth;BusinessFreedom;LaborFreedom;MonetaryFreedom;TradeFreedom;InvestmentFreedom;FinancialFreedom;TariffRate;IncomeTaxRate;CorporateTaxRate;TaxBurdenofGDP;GovernmentExpenditurofGDP ;Population;GDP;GDP_GrowthRate;5Year_GDP_GrowthRate;GDPperCapita;Unemployment;Inflation;FDIInflow;PublicDebt
1;Afghanistan;0;low income;developing;Asia-Pacific;;;;;;;;;;;;;;;;;20,0;20,0;7,5;;38,9;$78,7 ;-5,0;1,0;$2 390;11,7;5,6;13,0;7,8
2;Albania;0;middle income;developing;Europe;50;30;66,6;55,5;49,8;35,6;89,1;72,1;70,6;70,7;51,1;82,0;82,6;70;70;3,7;23,0;15,0;18,3;30,5;2,8;$40,7 ;-3,5;2,0;$14 218;11,7;1,6;1 107,0;76,0
3;Algeria;0;middle income;developing;Middle East and North Africa;167;13;45,8;27,9;29,7;30,1;67,2;57,1;38,6;50,0;51,5;80,1;57,4;30;30;13,8;35,0;26,0;37,2;37,8;43,9;$491,5 ;-6,0;0,1;$11 112;12,8;2,4;1 125,0;53,1
4;Angola;0;middle income;developing;Sub-Saharan Africa;139;29;52,6;39,8;25,3;20,6;86,6;86,4;80,0;37,6;53,9;61,2;70,0;30;40;7,5;25,0;25,0;9,4;21,3;32,9;$215,1 ;-4,0;-1,9;$6 932;7,7;22,3;-1 866,0;127,1
5;Argentina;0;middle income;developing;Americas;144;27;50,1;35,1;57,9;45,1;73,3;53,0;16,8;55,1;51,0;37,9;60,6;55;60;12,2;35,0;25,0;28,6;39,6;45,4;$941,8 ;-10,0;-2,8;$20 751;11,7;42,0;4 123,0;103,0
6;Armenia;0;middle income;developing;Europe;58;34;65,3;50,4;33,1;50,8;86,9;78,9;75,5;64,9;47,2;77,5;73,6;75;70;5,7;22,0;18,0;22,5;26,5;3,0;$39,4 ;-7,6;2,6;$13 261;20,2;1,2;117,0;62,8
7;Australia;1;high income;developed;Asia-Pacific;12;4;77,7;91,7;95,2;87,0;62,5;51,6;52,0;84,6;64,2;83,2;90,0;80;90;2,5;45,0;30,0;28,7;40,2;25,7;$1 329,9 ;-2,4;1,5;$51 680;6,6;0,9;20 146,0;63,1
8;Austria;1;high income;developed;Europe;22;15;73,8;98,4;94,6;82,9;45,5;20,3;71,7;82,3;78,4;82,3;79,2;80;70;2,9;55,0;25,0;42,4;51,6;8,9;$491,5 ;-6,6;0,4;$55 218;5,8;1,4;-17 340,0;85,2
9;Azerbaijan;0;middle income;developing;Europe;75;37;61,6;53,6;15,9;28,6;87,7;62,7;99,1;64,6;55,9;74,5;66,6;70;60;9,2;25,0;20,0;14,3;35,3;10,1;$145,8 ;-4,3;-0,7;$14 431;6,3;2,8;507,0;21,4
10;Bahamas;1;high income;developed;Americas;38;6;68,7;61,1;78,8;64,3;96,5;85,8;67,3;63,3;69,3;79,2;49,0;50;60;18;0,0;0,0;18,7;21,7;0,4;$12,8 ;-16,3;-1,5;$33 148;14,4;0,0;897,0;68,6
11;Bahrain;1;high income;developing;Middle East and North Africa;74;4;62,0;65,9;27,4;41,6;99,9;65,5;0,0;60,2;54,9;81,1;83,0;85;80;6;0,0;0,0;3,0;33,9;1,7;$73,8 ;-5,4;1,2;$48 766;4,1;-2,3;1 007,0;132,9
12;Bangladesh;0;middle income;developing;Asia-Pacific;137;29;52,7;36,3;28,1;22,2;82,6;93,2;54,0;55,6;36,6;70,0;63,8;50;40;10,6;25,0;32,5;7,7;15,0;164,7;$874,0 ;3,8;6,8;$5 307;5,3;5,6;2 564,0;38,9
13;Barbados;1;high income;developing;Americas;28;4;71,3;72,6;88,2;68,7;80,6;70,8;79,7;64,7;63,4;78,6;58,4;70;60;13,3;28,5;5,5;33,1;31,2;0,3;$3,9 ;-17,6;-3,1;$13 553;12,8;2,9;262,0;149,0
14;Belarus;0;middle income;developing;Europe;135;45;53,0;34,5;15,5;43,7;93,3;56,7;95,3;54,5;46,8;70,2;75,6;30;20;4,7;13,0;18,0;13,3;38,0;9,4;$189,9 ;-0,9;0,7;$20 187;5,3;5,5;1 397,0;48,0
15;Belgium;1;high income;developed;Europe;37;24;69,6;92,5;91,2;83,6;48,2;10,1;50,3;82,8;57,4;84,3;79,2;85;70;2,9;50,0;29,0;42,9;54,8;11,6;$588,8 ;-6,4;0,0;$51 096;6,0;0,4;8 437,0;115,0
16;Belize;0;middle income;developing;Americas;109;22;56,6;34,7;70,2;38,1;77,0;64,1;37,6;54,0;59,9;82,5;55,6;55;50;17,2;25,0;25,0;32,4;34,6;0,4;$2,5 ;-14,1;-1,5;$6 046;7,8;0,1;76,0;127,4
17;Benin;0;middle income;developing;Sub-Saharan Africa;81;6;61,0;44,3;55,3;40,3;68,4;91,6;83,4;47,7;59,6;80,4;61,4;50;50;11,8;45,0;30,0;15,4;16,7;12,1;$41,7 ;2,0;4,9;$3 437;2,5;3,0;176,0;45,4
18;Bhutan;0;middle income;developing;Asia-Pacific;94;19;59,3;67,2;60,9;73,5;82,4;71,6;72,4;62,9;57,2;72,7;40,8;20;30;22,1;25,0;30,0;15,4;30,7;0,8;$9,0 ;-0,8;4,2;$12 060;3,7;4,2;3,0;120,7
19;Bolivia;0;middle income;developing;Americas;169;30;43,0;14,1;28,4;28,7;86,0;58,8;10,9;54,7;46,2;72,8;60,8;15;40;9,6;13,0;25,0;24,7;37,1;11,7;$97,8 ;-7,7;1,4;$8 344;5,6;0,9;-1 048,0;67,3
20;Bosnia and Herzegovina;0;middle income;developing;Europe;68;36;63,4;49,2;37,2;33,4;94,0;46,2;95,9;66,6;60,2;84,9;68,8;65;60;8,1;10,0;10,0;20,1;42,4;3,3;$49,3 ;-5,5;1,5;$15 047;16,9;-0,6;371,0;38,3
21;Botswana;0;middle income;developing;Sub-Saharan Africa;61;3;64,8;74,2;70,1;61,4;87,4;59,8;19,2;56,7;61,6;75,4;77,2;65;70;6,4;25,0;22,0;12,1;36,6;2,4;$39,6 ;-8,3;1,3;$16 893;17,7;2,0;80,0;20,0
22;Brazil;0;middle income;developing;Americas;133;26;53,3;50,3;57,2;40,0;69,9;53,8;0,4;63,2;55,9;78,4;60,0;60;50;10;27,5;34,0;33,1;39,2;212,6;$3 153,6 ;-4,1;-0,6;$14 916;13,7;3,2;24 778,0;98,9
23;Bulgaria;0;middle income;developed;Europe;29;20;71,0;77,3;61,1;45,6;93,9;60,5;96,2;72,1;64,4;81,9;79,2;60;60;2,9;10,0;10,0;20,3;36,3;6,9;$164,6 ;-3,8;2,1;$23 817;5,7;1,2;2 426,0;23,8
24;Burkina Faso;0;low income;developing;Sub-Saharan Africa;100;13;58,3;47,0;36,3;41,4;81,8;82,3;66,1;41,9;61,6;75,6;61,0;65;40;9,5;27,5;28,0;16,8;24,3;20,9;$47,3 ;0,8;5,1;$2 262;5,0;1,9;149,0;44,3
25;Burma;0;middle income;developing;Asia-Pacific;149;32;49,6;23,1;16,7;29,8;87,2;86,8;67,2;41,7;49,6;73,9;69,4;30;20;5,3;25,0;25,0;5,9;21,0;54,4;$278,8 ;3,2;5,7;$5 242;1,8;5,7;1 834,0;39,3
26;Burundi;0;low income;developing;Sub-Saharan Africa;172;45;39,4;18,8;7,1;12,2;77,1;76,4;10,3;27,5;41,5;70,3;51,0;50;30;14,5;35,0;30,0;12,9;28,1;11,9;$9,0 ;-1,3;0,4;$760;0,8;7,3;6,0;69,5
27;Cambodia;0;middle income;developing;Asia-Pacific;106;21;57,1;41,2;20,9;12,3;88,7;81,5;98,0;55,2;47,8;74,7;64,8;50;50;10,1;20,0;20,0;18,2;24,8;16,7;$73,6 ;-3,5;5,0;$4 695;0,3;2,9;3 625,0;31,6
28;Cameroon;0;middle income;developing;Sub-Saharan Africa;136;27;52,9;39,1;10,9;19,9;74,7;90,1;78,7;60,4;46,4;79,9;55,2;30;50;14,9;35,0;33,0;14,6;18,2;26,5;$96,8 ;-2,8;2,7;$3 646;3,6;2,8;488,0;43,2
29;Canada;1;high income;developed;Americas;15;1;76,6;89,5;96,4;86,7;75,7;39,6;62,8;78,8;68,7;78,2;83,2;80;80;3,4;33,0;15,0;33,5;44,9;38,0;$1 850,1 ;-5,4;0,6;$48 720;9,5;0,7;23 823,0;117,8
30;Cabo Verde;0;middle income;developing;Sub-Saharan Africa;49;2;66,7;66,1;77,4;60,9;77,5;68,1;48,3;59,8;52,4;84,4;66,0;80;60;12,0;35,0;24,0;21,2;32,6;0,6;$3,6 ;-14,0;0,9;$6 424;13,4;0,6;73,0;139,0
31;Central African Republic;0;low income;developing;Sub-Saharan Africa;168;43;45,7;7,1;12,3;18,3;65,3;88,1;95,2;26,5;39,5;75,3;46,2;45;30;16,9;50,0;30,0;8,6;19,9;4,8;$4,7 ;0,0;3,2;$979;4,3;2,3;35,0;44,9
32;Chad;0;low income;developing;Sub-Saharan Africa;146;34;49,8;28,9;13,6;13,1;44,6;92,7;96,3;28,2;54,5;74,2;52,0;60;40;14,0;60,0;45,0;13,3;15,6;16,4;$26,5 ;-0,9;-0,7;$1 611;2,3;3,5;558,0;43,0
33;Chile;1;high income;developing;Americas;20;2;74,4;73,0;91,4;71,4;72,4;78,1;75,3;76,2;58,0;79,4;78,0;70;70;6,0;40,0;27,0;20,7;27,0;19,1;$454,7 ;-5,8;0,4;$23 366;11,5;3,0;8 386,0;32,5
34;China;0;middle income;developing;Asia-Pacific;158;35;48,0;43,7;37,4;39,3;71,2;64,2;11,1;68,8;57,2;70,0;73,2;20;20;3,4;45,0;25,0;15,2;34,5;1402,1;$24 142,8 ;2,3;5,7;$17 192;5,0;2,4;149 342,0;66,8
35;Colombia;0;middle income;developing;Americas;60;12;65,1;50,9;59,1;42,0;71,3;66,0;56,7;68,8;60,7;79,3;76,4;80;70;6,8;39,0;31,0;19,7;33,7;50,9;$728,8 ;-6,8;0,5;$14 324;15,4;2,5;7 690,0;62,8
36;Comoros;0;middle income;developing;Sub-Saharan Africa;143;33;50,4;28,9;21,2;20,1;63,0;88,5;96,2;48,3;55,5;81,5;27,0;45;30;26,5;30,0;50,0;17,4;19,5;0,9;$2,7 ;-0,5;2,5;$3 048;8,4;1,1;9,0;26,8
37;Congo, Democratic Republic of the Congo;0;middle income;developing;Sub-Saharan Africa;160;40;47,6;14,8;13,2;11,8;74,4;95,7;97,4;28,3;54,0;63,7;68,0;30;20;8,5;40,0;30,0;7,5;11,9;89,6;$100,5 ;-0,1;3,3;$1 106;4,6;11,3;1 647,0;15,2
38;Congo, Republic of;0;low income;developing;Sub-Saharan Africa;155;37;48,5;30,4;14,9;13,4;82,4;86,0;80,0;29,5;43,3;80,5;56,4;35;30;11,8;30,0;28,0;8,5;21,6;5,5;$19,6 ;-7,8;-6,0;$4 188;10,3;2,4;4 016,0;101,7
39;Costa Rica;0;middle income;developing;Americas;55;10;65,4;66,4;78,4;63,1;79,2;86,6;10,9;66,0;56,6;83,1;74,6;70;50;5,2;25,0;30,0;23,6;21,1;5,1;$102,5 ;-4,8;1,6;$19 990;17,1;0,7;1 711,0;68,3
40;C?te d'Ivoire;0;middle income;developing;Sub-Saharan Africa;76;4;61,6;45,4;30,0;33,8;79,1;89,7;73,8;61,0;55,9;71,3;73,6;75;50;8,2;36,0;25,0;13,1;18,6;26,4;$144,6 ;2,3;6,0;$5 365;3,5;2,5;509,0;45,7
41;Croatia;1;high income;developed;Europe;45;27;67,6;81,1;69,9;50,0;82,8;26,3;75,2;72,4;58,7;80,5;79,2;75;60;2,9;30,0;18,0;22,2;49,6;4,0;$112,1 ;-9,0;0,7;$27 717;7,2;0,3;1 304,0;87,2
42;Cuba;0;middle income;developing;Americas;175;31;29,5;31,5;15,6;39,9;48,4;0,0;11,4;41,1;20,0;61,8;64,0;10;10;8,0;50,0;30,0;42,0;65,9;11,3;$142,6 ;-11,0;-1,4;$12 600;3,9;;;69,4
43;Cyprus;1;high income;developed;Europe;23;16;72,9;85,6;90,9;62,9;80,3;44,3;71,2;74,9;66,4;83,9;79,2;75;60;2,9;35,0;12,5;24,2;43,1;1,2;$35,5 ;-5,1;3,0;$40 107;7,2;-1,1;-3 647,0;118,2
44;Czech Republic;1;high income;developed;Europe;21;14;74,4;88,8;81,8;59,6;78,9;44,7;93,2;80,6;56,5;79,0;79,2;70;80;2,9;23,0;19,0;34,9;42,9;10,7;$434,4 ;-5,6;1,5;$40 618;2,9;3,2;6 293,0;37,6
45;Denmark;1;high income;developed;Europe;10;7;78,0;98,6;89,6;99,5;42,3;21,1;96,2;89,0;64,4;85,7;79,2;90;80;2,9;56,0;22,0;46,3;51,3;5,8;$343,2 ;-3,3;1,6;$58 933;5,7;0,3;1 151,0;43,4
46;Djibouti;0;middle income;developing;Sub-Saharan Africa;120;21;55,3;33,1;28,3;24,5;80,0;83,3;92,1;48,6;50,7;69,5;43,2;60;50;20,9;30,0;25,0;21,8;23,6;1,0;$5,6 ;-1,0;5,4;$5 096;11,6;2,9;240,0;42,2
47;Dominica;0;middle income;developing;Americas;125;24;54,4;68,1;81,6;56,2;71,6;8,5;1,1;55,8;59,0;84,9;55,6;70;40;14,7;35,0;25,0;31,5;55,2;0,1;$0,8 ;-10,4;-1,9;$11 073;;-0,3;25,0;97,1
48;Dominican Republic;0;middle income;developing;Americas;71;16;63,0;54,0;55,9;30,8;84,6;89,9;66,8;68,1;52,9;73,5;69,0;70;40;8,0;25,0;27,0;13,5;18,3;10,8;$194,6 ;-6,7;3,3;$18 608;8,9;3,8;2 554,0;69,4
49;Ecuador;0;middle income;developing;Americas;126;25;54,3;31,4;47,3;37,2;77,5;59,7;63,1;60,3;57,3;81,5;61,0;35;40;9,5;35,0;25,0;20,1;36,7;17,6;$192,8 ;-7,5;-1,0;$11 009;6,2;-0,3;1 017,0;64,6
50;Egypt;0;middle income;developing;Middle East and North Africa;152;11;49,1;39,0;22,1;28,7;87,1;75,7;3,7;54,1;32,9;70,9;60,2;65;50;12,4;22,5;22,5;16,7;28,5;102,3;$1 290,2 ;3,6;4,6;$12 790;10,5;5,7;5 852,0;90,2
51;El Salvador;0;middle income;developing;Americas;90;18;59,6;43,2;46,8;36,1;77,7;74,7;50,3;65,0;54,6;76,8;69,4;60;60;7,8;30,0;30,0;20,8;29,1;6,5;$54,6 ;-8,6;0,2;$8 422;7,0;0,2;200,0;88,2
52;Equatorial Guinea;0;middle income;developing;Sub-Saharan Africa;163;41;47,2;18,9;6,9;6,5;75,1;91,0;94,8;34,4;46,5;73,0;48,8;40;30;15,6;35,0;35,0;6,3;17,3;1,4;$25,0 ;-5,8;-6,4;$17 788;9,2;4,8;530,0;51,1
53;Eritrea;0;low income;developing;Sub-Saharan Africa;171;44;39,7;8,6;3,9;11,1;72,7;68,6;79,0;30,1;51,2;61,5;69,2;0;20;5,4;30,0;30,0;30,5;32,4;3,6;$6,5 ;-0,6;2,7;$1 821;7,4;4,9;74,0;184,7
54;Estonia;1;high income;developed;Europe;7;4;80,0;91,5;92,3;83,9;81,1;48,4;93,3;86,9;61,1;82,8;79,2;90;70;2,9;20,0;20,0;33,1;41,5;1,3;$50,2 ;-2,9;3,0;$37 745;6,5;-0,6;3 156,0;18,5
55;Ethiopia;0;low income;developing;Sub-Saharan Africa;150;35;49,6;38,1;20,5;33,2;78,3;93,0;81,6;42,7;38,8;57,7;61,4;30;20;11,8;35,0;30,0;6,7;15,3;115,0;$282,6 ;6,1;8,2;$2 908;2,8;20,4;2 395,0;55,3
56;Fiji;0;middle income;developing;Asia-Pacific;111;23;56,4;53,2;43,4;54,3;86,8;69,6;9,1;58,8;66,0;74,9;55,2;55;50;14,9;20,0;20,0;22,7;31,8;0,9;$10,4 ;-19,0;-1,6;$11 567;4,8;-2,6;241,0;73,7
57;Finland;1;high income;developed;Europe;9;6;78,3;100,0;97,8;96,4;68,4;10,7;83,2;88,7;65,1;84,9;79,2;85;80;2,9;31,25;20,00;42,2;54,6;5,5;$275,5 ;-2,9;1,1;$49 853;7,8;0,4;2 575,0;67,1
58;France;1;high income;developed;Europe;52;31;65,9;93,8;85,5;75,9;52,1;0,5;39,1;81,9;58,8;79,1;79,2;75;70;2,9;45,0;26,5;45,4;57,6;67,4;$2 999,7 ;-8,2;-0,3;$46 062;8,6;0,5;17 932,0;113,5
59;Gabon;0;middle income;developing;Sub-Saharan Africa;115;19;55,8;26,8;18,6;24,4;77,4;90,2;89,5;49,9;54,0;81,5;56,8;60;40;14,1;35,0;30,0;11,5;18,1;2,2;$33,7 ;-1,8;1,1;$15 970;20,5;1,3;1 717,0;72,5
60;Gambia;0;low income;developing;Sub-Saharan Africa;102;14;58,0;47,6;37,2;38,1;79,3;84,1;68,9;50,5;47,3;64,1;63,8;65;50;13,1;35,0;27,0;10,8;23,0;2,4;$5,5 ;0,0;4,0;$2 275;9,6;5,9;46,0;75,8
61;Georgia;0;middle income;developing;Europe;26;18;71,8;63,8;56,4;64,4;89,1;72,7;67,1;74,1;61,9;76,0;86,6;80;70;1,7;20,0;15,0;22,2;30,2;3,7;$55,3 ;-6,1;2,3;$14 918;12,1;5,2;617,0;60,6
62;Germany;1;high income;developed;Europe;16;11;76,1;95,7;95,3;89,4;59,9;34,5;90,4;87,2;52,3;79,5;79,2;80;70;2,9;47,5;15,8;38,8;46,7;83,2;$4 496,8 ;-4,9;0,4;$54 076;4,3;0,4;35 651,0;68,9
63;Ghana;0;middle income;developing;Sub-Saharan Africa;89;9;59,8;60,7;57,0;45,4;82,8;83,8;7,8;60,9;55,4;70,8;63,0;70;60;11,0;30,0;25,0;14,1;23,2;31,1;$175,2 ;0,9;5,0;$5 693;4,5;9,9;1 877,0;78,0
64;Greece;1;high income;developed;Europe;77;38;61,5;76,0;69,9;52,3;59,9;17,9;67,6;70,3;61,1;78,6;79,2;55;50;2,9;44,0;24,0;38,7;52,3;10,7;$307,9 ;-8,2;-0,8;$28 748;16,9;-1,3;3 572,0;213,1
65;Guatemala;0;middle income;developing;Americas;69;15;63,2;39,8;36,9;26,5;91,5;94,0;83,3;62,1;50,3;79,3;75,0;70;50;5,0;7,0;25,0;13,1;14,1;16,9;$149,0 ;-1,5;2,3;$8 293;4,7;2,4;915,0;31,7
66;Guinea;0;low income;developing;Sub-Saharan Africa;129;25;54,2;21,4;27,8;25,6;69,3;92,8;92,0;45,4;49,5;69,7;66,4;50;40;9,3;40,0;35,0;15,6;15,5;13,1;$36,4 ;5,2;7,6;$2 604;4,4;10,6;325,0;41,4
67;Guinea-Bissau;0;low income;developing;Sub-Saharan Africa;166;42;46,0;29,1;14,0;15,9;88,8;85,8;31,3;31,5;56,4;83,4;55,8;30;30;12,1;20,0;25,0;9,5;21,8;2,0;$4,3 ;-2,4;3,1;$2 348;3,2;1,5;20,0;78,1
68;Guyana;0;middle income;developing;Americas;91;19;59,5;46,9;47,4;41,5;67,5;74,8;67,4;63,1;67,3;83,3;69,4;55;30;5,3;33,3;40,0;23,2;29,0;0,8;$15,5 ;43,4;12,1;$19 684;15,8;0,7;1 834,0;43,9
69;Haiti;0;low income;developing;Americas;145;28;50,0;24,1;18,6;14,3;81,5;97,0;94,8;33,5;54,7;56,2;65,4;30;30;7,3;30,0;30,0;7,4;10,1;11,4;$33,2 ;-3,7;0,1;$2 916;14,5;22,9;30,0;25,1
70;Honduras;0;middle income;developing;Americas;92;20;59,5;40,3;29,0;25,4;82,7;78,7;92,1;56,9;39,1;72,7;71,6;65;60;6,7;25,0;25,0;21,9;26,6;9,9;$54,2 ;-8,0;1,4;$5 450;9,4;3,5;419,0;48,9
72;Hungary;1;high income;developed;Europe;48;29;66,9;75,8;62,2;44,4;84,1;31,6;58,4;77,2;61,2;78,5;79,2;80;70;2,9;15,0;9,0;35,8;47,7;9,7;$322,7 ;-5,0;2,3;$33 030;4,4;3,3;4 169,0;81,2
73;Iceland;1;high income;developed;Europe;13;9;77,0;97,1;94,8;85,3;72,9;36,8;76,1;83,3;67,4;79,3;81,0;80;70;2,0;31,8;20,0;36,1;45,9;0,4;$20,4 ;-6,6;2,2;$55 966;5,0;2,9;-811,0;79,9
74;India;0;middle income;developing;Asia-Pacific;131;27;53,9;49,9;51,5;42,4;79,5;76,2;4,0;63,9;58,2;70,0;71,0;40;40;7,0;30,9;32,4;6,8;28,2;1380,0;$8 907,1 ;-8,0;3,5;$6 461;7,1;6,2;64 062,0;89,6
75;Indonesia;0;middle income;developing;Asia-Pacific;63;10;64,4;38,6;43,2;39,9;85,3;91,2;80,1;66,6;59,3;80,3;78,6;50;60;5,7;30,0;22,0;9,5;17,1;273,5;$3 302,4 ;-2,1;3,6;$12 222;4,1;2,0;18 581,0;36,6
76;Iran;0;middle income;developing;Middle East and North Africa;170;14;42,4;26,6;29,4;19,8;80,8;92,5;54,7;38,9;49,4;42,3;59,2;5;10;12,9;35,0;25,0;8,4;15,8;84,0;$1 100,1 ;1,5;1,2;$13 073;11,0;36,5;1 342,0;42,8
77;Iraq;0;middle income;developing;Middle East and North Africa;;;;;;;;;;;;;;;;;15,0;35,0;1,4;40,3;40,2;$401,4 ;-10,9;1,2;$10 003;13,7;0,6;-2 896,0;81,2
78;Ireland;1;high income;developed;Europe;3;2;82,0;92,6;93,0;80,7;76,5;79,9;89,0;87,2;60,9;85,2;79,2;90;70;2,9;41,0;12,5;22,7;25,9;5,0;$471,4 ;2,5;5,8;$94 392;5,9;-0,5;33 424,0;59,8
79;Israel;1;high income;developed;Middle East and North Africa;43;2;68,0;83,2;85,0;65,2;60,4;48,4;23,1;81,1;56,5;84,8;78,8;80;70;3,1;50,0;23,0;30,5;41,5;9,2;$373,7 ;-2,4;2,4;$40 547;4,6;-0,6;24 758,0;73,0
80;Italy;1;high income;developed;Europe;57;33;65,4;81,7;78,6;57,3;57,7;20,6;49,0;73,8;70,4;86,2;79,2;80;50;2,9;43,0;24,0;42,5;51,4;59,6;$2 461,7 ;-8,9;-0,9;$40 861;9,3;-0,1;-388,0;155,6
81;Jamaica;0;middle income;developing;Americas;46;7;67,4;65,0;70,6;49,0;76,6;71,6;79,4;56,5;64,7;76,2;69,2;80;50;10,4;30,0;25,0;28,6;30,8;3,0;$27,3 ;-10,2;-1,0;$9 975;8,4;5,2;366,0;105,6
82;Japan;1;high income;developed;Asia-Pacific;35;6;69,9;94,6;95,3;81,4;67,4;52,5;19,7;78,3;66,6;87,1;75,4;60;60;2,3;40,8;23,9;32,0;39,8;125,8;$5 313,0 ;-4,8;-0,3;$42 248;3,0;0,0;10 254,0;256,2
83;Jordan;0;middle income;developing;Middle East and North Africa;87;5;60,1;53,7;42,6;49,5;84,8;71,6;15,9;59,6;57,2;84,2;71,8;70;60;9,1;30,0;20,0;14,8;30,8;10,2;$105,2 ;-2,0;1,2;$10 306;18,5;0,4;726,0;88,5
84;Kazakhstan;0;middle income;developing;Asia-Pacific;64;11;64,4;55,3;34,5;37,9;92,7;86,5;93,5;64,7;62,7;69,1;75,4;50;50;4,8;10,0;20,0;15,1;21,2;18,8;$501,3 ;-2,6;2,2;$26 565;6,1;6,8;3 877,0;27,4
85;Kenya;0;middle income;developing;Sub-Saharan Africa;138;28;52,6;40,6;39,0;30,9;79,0;82,2;10,6;56,1;56,8;75,5;56,0;55;50;12,0;30,0;30,0;17,4;24,4;53,8;$239,8 ;-0,1;4,4;$4 926;3,0;5,3;717,0;68,7
86;Kiribati;0;middle income;developing;Asia-Pacific;96;20;59,2;70,6;81,8;45,4;69,3;0,0;99,4;63,2;65,1;80,7;80,0;25;30;0,0;35,0;35,0;24,9;119,1;0,1;$0,3 ;-0,5;2,7;$2 200;;2,5;0,0;17,3
87;Korea, North ;0;low income;developing;Asia-Pacific;177;39;3,0;16,3;6,5;3,8;0,0;0,0;0,0;5,0;5,0;0,0;0,0;0;0;;;;;;25,8;;-8,0;-1,88;;2,8;;6,0;
88;Korea, South;1;high income;developing;Asia-Pacific;19;5;74,6;90,5;77,1;69,2;60,4;84,5;95,3;84,8;55,6;85,2;73,0;60;60;8,5;49,5;27,5;27,4;22,7;51,8;$2 310,4 ;-1,0;2,0;$44 621;4,1;0,5;9 224,0;48,7
89;Kuwait;1;high income;developing;Middle East and North Africa;101;7;58,3;41,9;42,0;43,8;97,7;4,0;99,7;55,4;52,7;71,7;75,6;55;60;4,7;0,0;15,0;1,4;56,6;4,3;$203,3 ;-8,1;-1,6;$41 627;6,8;2,1;-319,0;11,5
90;Kyrgyz Republic;0;middle income;developing;Asia-Pacific;116;24;55,8;25,1;11,8;28,8;94,8;66,7;79,0;56,1;52,2;71,4;73,2;60;50;5,9;10,0;10,0;17,9;33,3;6,6;$32,8 ;-8,0;1,8;$5 036;7,9;6,3;-331,0;74,3
91;Laos;0;middle income;developing;Asia-Pacific;151;33;49,2;41,1;11,1;20,4;87,2;88,4;44,0;60,5;44,3;71,8;66,8;35;20;9,1;24,0;24,0;11,4;19,7;7,3;$58,9 ;-0,4;4,9;$8 111;1,0;5,1;968,0;68,0
